epoch,step,train_accuracy,train_loss,val_accuracy,val_loss
0,65,,,0.5274122357368469,5.818243503570557
0,65,0.5246211886405945,7.253942966461182,,
1,131,,,0.6370614171028137,3.376042127609253
1,131,0.7300189733505249,2.8240432739257812,,
2,197,,,0.624451756477356,3.5499889850616455
2,197,0.878219723701477,0.9238812923431396,,
3,263,,,0.6359648704528809,3.8725180625915527
3,263,0.9256628751754761,0.5694326162338257,,
4,329,,,0.6156798601150513,4.429969310760498
4,329,0.9353219866752625,0.33746951818466187,,
5,395,,,0.6151315569877625,4.664470672607422
5,395,0.959469735622406,0.16967111825942993,,
6,461,,,0.6030701398849487,5.136695384979248
6,461,0.9353219866752625,0.34704485535621643,,
7,527,,,0.624451756477356,4.847422122955322
7,527,0.9599431753158569,0.2312411069869995,,
8,593,,,0.6228070259094238,5.673920631408691
8,593,0.959469735622406,0.22802811861038208,,
9,659,,,0.6617324948310852,4.360871315002441
9,659,0.9763257503509521,0.12557150423526764,,
10,725,,,0.5855262875556946,5.388195991516113
10,725,0.9910038113594055,0.04018399119377136,,
11,791,,,0.6003289222717285,5.445607662200928
11,791,0.985511302947998,0.07518153637647629,,
12,857,,,0.6293859481811523,4.7621846199035645
12,857,0.9919507503509521,0.03449346870183945,,
13,923,,,0.6359648704528809,4.560836315155029
13,923,0.998106062412262,0.009842198342084885,,
14,989,,,0.6392543911933899,4.444570541381836
14,989,0.9990530014038086,0.0047662872821092606,,
15,1055,,,0.6343201398849487,4.440882205963135
15,1055,0.9995265007019043,0.0017924320418387651,,
16,1121,,,0.640899121761322,4.546202659606934
16,1121,1.0,0.000778502959292382,,
17,1187,,,0.6332237124443054,4.406867980957031
17,1187,0.9990530014038086,0.004202184267342091,,
18,1253,,,0.6293859481811523,4.395907402038574
18,1253,1.0,0.00039258660399354994,,
19,1319,,,0.6376096606254578,4.355512619018555
19,1319,0.9995265007019043,0.0010062521323561668,,
20,1385,,,0.6315789222717285,4.260445594787598
20,1385,1.0,0.0003417634579818696,,
21,1451,,,0.6288377642631531,4.41035795211792
21,1451,1.0,0.00043111154809594154,,
22,1517,,,0.6332237124443054,4.324596405029297
22,1517,0.9995265007019043,0.0009297123178839684,,
23,1583,,,0.6354166865348816,4.42047643661499
23,1583,1.0,0.0002860989479813725,,
24,1649,,,0.6326754093170166,4.336976528167725
24,1649,1.0,0.0002310002746526152,,
25,1715,,,0.6299341917037964,4.3198628425598145
25,1715,1.0,0.0003017461276613176,,
26,1781,,,0.6315789222717285,4.3771209716796875
26,1781,1.0,0.00033725917455740273,,
27,1847,,,0.6370614171028137,4.359677791595459
27,1847,1.0,0.00022101296053733677,,
28,1913,,,0.6282894611358643,4.546133041381836
28,1913,1.0,0.00026621908182278275,,
29,1979,,,0.6370614171028137,4.375990867614746
29,1979,1.0,0.0003054722328670323,,
