epoch,step,train_accuracy,train_loss,val_accuracy,val_loss
0,65,,,0.5274122357368469,5.818243503570557
0,65,0.5246211886405945,7.253942966461182,,
1,131,,,0.6370614171028137,3.376042127609253
1,131,0.7300189733505249,2.8240432739257812,,
2,197,,,0.624451756477356,3.5499889850616455
2,197,0.878219723701477,0.9238812923431396,,
3,263,,,0.6359648704528809,3.8725180625915527
3,263,0.9256628751754761,0.5694326162338257,,
4,329,,,0.6156798601150513,4.429969310760498
4,329,0.9353219866752625,0.33746951818466187,,
